"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"1",2023,1,"cls_3",8639.1536,1.2878,115219.1969,63.9,"Pasture"
"2",2023,11,"cls_3",1.5312,1.0728,21164.8865,63.9,"Pasture"
"3",2023,13,"cls_3",3.879,1.1619,21166.4337,63.9,"Pasture"
"4",2023,20,"cls_3",4.3895,1.1051,21168.5884,63.9,"Pasture"
"5",2023,28,"cls_3",0.3062,1.0358,21169.0428,63.9,"Pasture"
"6",2023,37,"cls_3",0.2042,1.0155,10588.2578,90.3682,"Pasture"
"7",2023,38,"cls_3",0.4083,1.0975,3395.0258,71.4424,"Pasture"
"8",2023,41,"cls_3",0.1021,1,10588.5224,90.3682,"Pasture"
"9",2023,43,"cls_3",0.3062,1.0914,6520.183,63.9,"Pasture"
"10",2023,44,"cls_3",0.1021,1,10589.5755,63.9,"Pasture"
"11",2023,49,"cls_3",0.1021,1,1636.741,115.1974,"Pasture"
"12",2023,54,"cls_3",0.2042,1.0155,1331.5975,115.1974,"Pasture"
"13",2023,60,"cls_3",0.1021,1,808.7958,328.9454,"Pasture"
"14",2023,64,"cls_3",0.3062,1.0358,21171.0783,63.9,"Pasture"
"15",2023,79,"cls_3",0.2042,1.0909,21168.0254,63.9,"Pasture"
"16",2023,86,"cls_3",0.5104,1.0688,21167.9965,63.9,"Pasture"
"17",2023,95,"cls_3",0.1021,1,21169.7542,63.9,"Pasture"
"18",2023,101,"cls_3",1.327,1.1073,21176.3918,63.9,"Pasture"
"19",2023,117,"cls_3",0.2042,1.0909,21170.8735,63.9,"Pasture"
"20",2023,135,"cls_3",0.2042,1.0155,173.0926,243.324,"Pasture"
"21",2023,143,"cls_3",0.3062,1.0358,357.1549,162.9137,"Pasture"
"22",2023,146,"cls_3",0.3062,1.1369,10591.5502,90.3682,"Pasture"
"23",2023,148,"cls_3",0.2042,1.0155,884.6673,162.9137,"Pasture"
"24",2023,151,"cls_3",5111.9748,1.2637,121631.3227,63.9,"Pasture"
"25",2023,165,"cls_3",0.3062,1.0358,12096.2324,71.4424,"Pasture"
"26",2023,177,"cls_3",0.8166,1.0769,17828.4939,63.9,"Pasture"
"27",2023,178,"cls_3",0.1021,1,13596.7598,63.9,"Pasture"
"28",2023,208,"cls_3",0.3062,1.0358,29478.6095,63.9,"Pasture"
"29",2023,220,"cls_3",0.3062,1.0914,21169.3905,63.9,"Pasture"
"30",2023,261,"cls_3",0.6125,1.0465,12559.5999,63.9,"Pasture"
"31",2023,278,"cls_3",1.0208,1.0764,56097.8763,63.9,"Pasture"
"32",2023,295,"cls_3",9152.1069,1.294,141137.2314,63.9,"Pasture"
"33",2023,297,"cls_3",0.3062,1.0358,25798.7946,63.9,"Pasture"
"34",2023,330,"cls_3",0.1021,1,23682.9992,63.9,"Pasture"
"35",2023,348,"cls_3",0.2042,1.0155,16953.5882,71.4424,"Pasture"
"36",2023,423,"cls_3",6.2269,1.1242,39134.698,63.9,"Pasture"
"37",2023,442,"cls_3",0.7146,1.0283,12740.0287,63.9,"Pasture"
"38",2023,459,"cls_3",1265.693,1.1686,37671.6264,63.9,"Pasture"
"39",2023,480,"cls_3",1.0208,1.0764,26708.1497,63.9,"Pasture"
"40",2023,501,"cls_3",0.2042,1.0155,30480.8673,63.9,"Pasture"
"41",2023,529,"cls_3",31835.8696,1.31,147453.4211,63.9,"Pasture"
"42",2023,572,"cls_3",38.178,1.1261,28708.8058,63.9,"Pasture"
"43",2023,583,"cls_3",0.6125,1.1395,22486.9062,63.9,"Pasture"
"44",2023,591,"cls_3",0.1021,1,22608.6413,63.9,"Pasture"
"45",2023,601,"cls_3",2.2458,1.0492,14615.8908,63.9,"Pasture"
"46",2023,603,"cls_3",0.2042,1.0155,21747.0358,63.9,"Pasture"
"47",2023,665,"cls_3",0.5104,1.0688,9910.8761,95.85,"Pasture"
"48",2023,680,"cls_3",0.3062,1.0358,79204.2995,63.9,"Pasture"
"49",2023,687,"cls_3",0.1021,1,21510.2181,63.9,"Pasture"
"50",2023,695,"cls_3",0.2042,1.0909,10913.7788,63.9,"Pasture"
"51",2023,706,"cls_3",0.7146,1.0283,78393.5075,63.9,"Pasture"
"52",2023,751,"cls_3",0.3062,1.0358,10163.0742,71.4424,"Pasture"
"53",2023,759,"cls_3",0.9187,1,1104.7432,243.324,"Pasture"
"54",2023,765,"cls_3",0.1021,1,10773.3225,90.3682,"Pasture"
"55",2023,767,"cls_3",0.1021,1,349.9513,71.4424,"Pasture"
"56",2023,769,"cls_3",1.1229,1.1888,3327.3135,90.3682,"Pasture"
"57",2023,770,"cls_3",0.5104,1.105,10442.7156,71.4424,"Pasture"
"58",2023,772,"cls_3",6.1248,1.0717,9440.8594,71.4424,"Pasture"
"59",2023,791,"cls_3",0.2042,1.0909,17967.4459,71.4424,"Pasture"
"60",2023,803,"cls_3",0.2042,1.0909,6978.8753,71.4424,"Pasture"
"61",2023,805,"cls_3",0.2042,1.0909,3320.4765,101.0348,"Pasture"
"62",2023,811,"cls_3",0.1021,1,19497.8585,71.4424,"Pasture"
