Study_ID,Species,Ind_ID,Home_Range_km2
1493,Brachyteles arachnoides,NA,1.68
2308,Brachyteles hypoxanthus,Matao,3.09
3331,Mazama gouazoubira,Mgo01,0.7716
3331,Mazama gouazoubira,Mgo02,0.7775
3331,Mazama gouazoubira,Mgo03,0.5233
3331,Mazama gouazoubira,Mgo04,0.1712
3331,Mazama gouazoubira,Mgo05,0.6476
3331,Mazama gouazoubira,Mgo06,0.6492
3331,Mazama gouazoubira,Mgo01,0.1183
3331,Mazama gouazoubira,Mgo02,0.0669
3331,Mazama gouazoubira,Mgo03,0.0587
3331,Mazama gouazoubira,Mgo04,0.0098
3331,Mazama gouazoubira,Mgo05,0.0883
3331,Mazama gouazoubira,Mgo06,0.1185
3331,Mazama gouazoubira,NA,0.59
3331,Mazama gouazoubira,NA,0.077
1784,Alouatta guariba,BRI,0.7032
1784,Alouatta guariba,BR2,0.3122
1784,Alouatta guariba,BRI,0.5944
1784,Alouatta guariba,BR2,0.2617
1784,Alouatta guariba,BRI,0.6037
1784,Alouatta guariba,BR2,0.1632
1784,Alouatta guariba,BRI,0.0739
1784,Alouatta guariba,BR2,0.0205
1784,Alouatta guariba,BRI,0.0757
1784,Alouatta guariba,BR2,0.0301
1784,Alouatta guariba,BRI,0.0579
1784,Alouatta guariba,BR2,0.0133
3242,Alouatta guariba,G3,0.15
3242,Alouatta guariba,G3,0.184
3242,Alouatta guariba,G3,0.059
3242,Alouatta guariba,G4,0.413
3242,Alouatta guariba,G4,0.438
3242,Alouatta guariba,G4,0.13
3384,Puma concolor,FP009,204.3070849
3384,Puma concolor,FP011,249.3117065
3384,Puma concolor,FP016,810.5673881
3384,Puma concolor,FP019,149.400085
3384,Puma concolor,FP023,597.1820923
3384,Puma concolor,FP032,142.2825086
3384,Puma concolor,FP040,387.534813
3384,Puma concolor,FP045,481.7394378
3384,Puma concolor,FP046,436.5278576
3384,Puma concolor,FP048,172.5456012
3384,Puma concolor,FP049,102.8227143
3384,Puma concolor,FP051,620.245188
3384,Puma concolor,FP054,690.1732327
3384,Puma concolor,FP055,320.8219478
3384,Puma concolor,FP056,273.6178245
3384,Puma concolor,FP057,192.1382787
3384,Puma concolor,FP058,358.6340947
3384,Puma concolor,FP059,197.7912261
3384,Puma concolor,FP060,989.2872522
3384,Puma concolor,FP061,391.2251085
3384,Puma concolor,FP201,107.9850034
3384,Puma concolor,TX101,26.84537887
3384,Puma concolor,TX103,351.5712272
3384,Puma concolor,TX104,758.0955361
3384,Puma concolor,TX105,109.0812619
3384,Puma concolor,TX106,225.3831341
3384,Puma concolor,TX107,422.5191639
3384,Puma concolor,TX108,289.1080847
3384,Puma concolor,FP011,257.1608222
3384,Puma concolor,FP016,366.3937036
3384,Puma concolor,FP023,429.9516506
3384,Puma concolor,FP032,100.9210678
3384,Puma concolor,FP036,230.3409989
