ORDER,GENUS,SPECIES,DIET,LOCOMOTION,UA_ID,UA_Area_ha,Mean_Elevation_m,Mean_Pop_Density,Species_Code,CA_Forest,CA_Herbaceous,CA_Agropecuaria,CA_Water,CA_Non_Vegetated,ED_Forest,ED_Herbaceous,ED_Agropecuaria,ED_Water,ED_Non_Vegetated,LPI_Forest,LPI_Herbaceous,LPI_Agropecuaria,LPI_Water,LPI_Non_Vegetated,NP_Forest,NP_Herbaceous,NP_Agropecuaria,NP_Water,NP_Non_Vegetated,PD_Forest,PD_Herbaceous,PD_Agropecuaria,PD_Water,PD_Non_Vegetated,PLAND_Forest,PLAND_Herbaceous,PLAND_Agropecuaria,PLAND_Water,PLAND_Non_Vegetated,PROX_MN_Agropecuaria,PROX_MN_Forest,PROX_MN_Herbaceous,PROX_MN_Non_Vegetated,PROX_MN_Water
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,1,126805,505.81,261.96,A_guariba,38242.69947,29.09276856,84419.35421,946.0764176,2470.231251,48.38952243,0.108942614,53.00666245,2.239404114,4.511491013,5.127005456,0.004937752,39.62934482,0.094141074,0.085641665,3149,14,720,219,806,2.497076816,0.011101644,0.570941666,0.173661424,0.639137477,30.32548689,0.023069825,66.94239829,0.750214509,1.958830481,41221.32888,603.9898326,3.199342857,6.743122208,11.47909635
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,10,126805,505.81,261.96,A_guariba,25714.33253,2345.081306,16613.91037,568.2787459,1100.319131,34.35269339,5.176999913,36.81261291,2.416484844,3.234849327,50.56027067,4.452868758,21.6795124,0.282393161,0.613026651,564,87,483,66,116,1.217040586,0.187734984,1.042252842,0.142419643,0.250313312,55.48827364,5.060388522,35.8507149,1.226273578,2.374349361,41221.32888,603.9898326,3.199342857,6.743122208,11.47909635
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,11,126805,505.81,261.96,A_guariba,11935.79318,13.16830577,44595.64141,348.2965836,209.6720934,30.80372998,0.123653582,33.81729647,2.855782283,0.83871819,1.456584035,0.003575317,47.13572439,0.053272219,0.111013584,942,11,147,143,62,1.649663008,0.019263581,0.257431489,0.25042655,0.108576546,20.90237419,0.023060793,78.09743096,0.609949034,0.367185028,41221.32888,603.9898326,3.199342857,6.743122208,11.47909635
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,12,126805,505.81,261.96,A_guariba,222848.0552,3965.803714,152896.9941,1479.341761,5318.974732,35.60098169,3.037280538,40.37294181,0.944918864,3.063815308,30.80621392,0.073474648,21.66968629,0.119244442,0.053481726,4305,929,4448,345,1531,1.113815749,0.240356523,1.150813577,0.089260496,0.396109619,57.65660242,1.026056825,39.55843902,0.382744286,1.37615745,41221.32888,603.9898326,3.199342857,6.743122208,11.47909635
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,2,16834,490.1,132.26,A_guariba,4339.416111,13.47454544,12064.82216,110.9608401,156.5905508,44.87857184,0.291058707,48.9457343,2.246130681,2.284427879,10.45499318,0.065462243,71.27798205,0.072803803,0.237377105,367,4,58,62,33,2.199545631,0.023973249,0.347612116,0.371585366,0.197779307,26.00747616,0.08075716,72.30824763,0.665022973,0.938496081,13233.10031,275.3530305,0.025675,16.25122121,4.746417742
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,3,43767,435.91,92.13,A_guariba,12306.34318,68.80184565,30576.19352,352.4818591,213.6532091,44.15324465,0.693072099,47.24123326,2.17833148,1.242977821,1.748970228,0.018062058,69.32006906,0.123619543,0.044803288,858,36,157,159,93,1.971621808,0.082725391,0.36077462,0.365370475,0.213707259,28.27908461,0.158101654,70.26187639,0.809977763,0.490959588,29773.80397,171.8351619,1.365241667,2.829496774,7.129228931
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,4,31824,16.47,119.91,A_guariba,1434.01829,859.0022717,28350.34152,420.8753852,736.5064041,11.7257569,10.38650286,25.21876651,3.933368029,3.543547647,1.498420688,0.242353817,88.90629414,0.252946766,0.615032999,328,328,44,138,68,1.031422414,1.031422414,0.138361543,0.433952113,0.213831476,4.509385994,2.701201818,89.14993195,1.323476541,2.316003698,7127.978483,21.50494634,11.44397439,14.77501176,5.741307971
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,5,47761,521,48.95,A_guariba,41174.33182,9.79966941,5618.272969,59.4104958,332.4742007,28.82274261,0.101548124,29.66491506,0.524665309,1.555040277,86.73687671,0.006272617,1.91185027,0.024874169,0.097333705,116,9,796,163,66,0.245792451,0.019070104,1.686644749,0.345380771,0.139847429,87.24430976,0.020764524,11.90456106,0.125884926,0.70447973,108.108268,55138.5863,0.281122222,5.85740303,0.465454601
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,7,3624,642.25,56.25,A_guariba,530.3050269,NA,2958.887682,27.96988977,3.36863636,27.0989022,NA,28.69615832,3.412319901,0.272259567,2.774878219,NA,83.70157736,0.162375319,0.095685456,72,NA,13,74,1,2.045145894,NA,0.369262453,2.101955502,0.028404804,15.06321039,NA,84.04662491,0.794479239,0.095685456,2395.321763,20.02095,NA,0,0.961268919
Primatas,Alouatta,A_guariba,Fr/Fo,Ar,8,95561,440.53,50,A_guariba,46450.9434,1796.197739,47013.09735,9.69758952,155.2635122,43.97649008,5.156845714,47.13113236,0.062275893,0.425217118,27.63869411,0.160246639,32.59221937,0.001497632,0.027064352,1250,373,899,16,51,1.309926524,0.390882075,0.942099156,0.01676706,0.053445002,48.67785826,1.882309648,49.26696256,0.010162504,0.162707034,16447.69013,6739.785227,13.6690555,5.194384314,0.05830625
