"pairs","F.Model","R2","p.value","p.adjusted","sig"
"Alouatta vs Brachyteles",7.029,0.27,0.0011,0.0154,"*"
"Alouatta vs Bradypus",0.7832,0.053,0.5237,0.6094,""
"Alouatta vs Leopardus",0.471,0.0304,0.7418,0.7693,""
"Alouatta vs Myrmecophaga",0.7499,0.0545,0.5441,0.6094,""
"Alouatta vs Mazama",2.0849,0.0989,0.1189,0.2245,""
"Alouatta vs Puma",1.997,0.0868,0.1232,0.2245,""
"Alouatta vs Tayassu",2.998,0.1578,0.0306,0.1224,""
"Brachyteles vs Bradypus",7.3289,0.3605,0.0031,0.0289,"*"
"Brachyteles vs Leopardus",5.9542,0.2984,0.005,0.035,"*"
"Brachyteles vs Myrmecophaga",3.2483,0.213,0.0301,0.1224,""
"Brachyteles vs Mazama",2.0194,0.1009,0.1307,0.2245,""
"Brachyteles vs Puma",7.8356,0.2815,8e-04,0.0154,"*"
"Brachyteles vs Tayassu",2.2897,0.1324,0.0985,0.2122,""
"Bradypus vs Leopardus",0.7077,0.0729,0.6052,0.6518,""
"Bradypus vs Myrmecophaga",3.1549,0.3107,0.0732,0.1945,""
"Bradypus vs Mazama",2.8458,0.1796,0.0654,0.1945,""
"Bradypus vs Puma",0.2843,0.0186,0.8193,0.8193,""
"Bradypus vs Tayassu",2.9442,0.2275,0.0647,0.1945,""
"Leopardus vs Myrmecophaga",1.2577,0.1359,0.288,0.384,""
"Leopardus vs Mazama",2.303,0.1413,0.0845,0.1972,""
"Leopardus vs Puma",1.2314,0.0715,0.319,0.406,""
"Leopardus vs Tayassu",2.4896,0.1846,0.0764,0.1945,""
"Myrmecophaga vs Mazama",0.9661,0.0745,0.3891,0.4737,""
"Myrmecophaga vs Puma",1.9725,0.1235,0.1363,0.2245,""
"Myrmecophaga vs Tayassu",1.4189,0.1362,0.2396,0.3354,""
"Mazama vs Puma",3.6646,0.1549,0.0223,0.1224,""
"Mazama vs Tayassu",1.6726,0.1003,0.1944,0.2865,""
"Puma vs Tayassu",1.8987,0.1005,0.1566,0.2436,""
