"pairs","F.Model","R2","p.value","p.adjusted","sig"
"A_guariba vs B_arachnoides",5.5698,0.2468,0.003,0.0864,""
"A_guariba vs B_crinitus",0.7832,0.053,0.5237,0.5892,""
"A_guariba vs B_hypoxantus",3.4408,0.2383,0.0534,0.1618,""
"A_guariba vs L_wiedii",0.471,0.0304,0.7418,0.763,""
"A_guariba vs M_tridactyla",0.7499,0.0545,0.5441,0.5936,""
"A_guariba vs Mazama",2.0849,0.0989,0.1189,0.2218,""
"A_guariba vs P_concolor",1.997,0.0868,0.1232,0.2218,""
"A_guariba vs T_pecari",2.998,0.1578,0.0306,0.1377,""
"B_arachnoides vs B_crinitus",6.3855,0.3673,0.0092,0.0864,""
"B_arachnoides vs B_hypoxantus",1.2335,0.1336,0.2626,0.3521,""
"B_arachnoides vs L_wiedii",4.8076,0.286,0.012,0.0864,""
"B_arachnoides vs M_tridactyla",2.9522,0.2279,0.0556,0.1618,""
"B_arachnoides vs Mazama",1.6859,0.0953,0.1882,0.2916,""
"B_arachnoides vs P_concolor",5.6267,0.2382,0.0063,0.0864,""
"B_arachnoides vs T_pecari",1.4103,0.0979,0.2641,0.3521,""
"B_crinitus vs B_hypoxantus",7.8365,0.6105,0.0476,0.1618,""
"B_crinitus vs L_wiedii",0.7077,0.0729,0.6052,0.6408,""
"B_crinitus vs M_tridactyla",3.1549,0.3107,0.0732,0.1618,""
"B_crinitus vs Mazama",2.8458,0.1796,0.0654,0.1618,""
"B_crinitus vs P_concolor",0.2843,0.0186,0.8193,0.8193,""
"B_crinitus vs T_pecari",2.9442,0.2275,0.0647,0.1618,""
"B_hypoxantus vs L_wiedii",3.2201,0.3492,0.0717,0.1618,""
"B_hypoxantus vs M_tridactyla",3.832,0.4893,0.0667,0.1618,""
"B_hypoxantus vs Mazama",1.3765,0.121,0.2865,0.3575,""
"B_hypoxantus vs P_concolor",6.5919,0.3546,0.0111,0.0864,""
"B_hypoxantus vs T_pecari",3.6536,0.3429,0.0297,0.1377,""
"L_wiedii vs M_tridactyla",1.2577,0.1359,0.288,0.3575,""
"L_wiedii vs Mazama",2.303,0.1413,0.0845,0.169,""
"L_wiedii vs P_concolor",1.2314,0.0715,0.319,0.3828,""
"L_wiedii vs T_pecari",2.4896,0.1846,0.0764,0.1618,""
"M_tridactyla vs Mazama",0.9661,0.0745,0.3891,0.4519,""
"M_tridactyla vs P_concolor",1.9725,0.1235,0.1363,0.2337,""
"M_tridactyla vs T_pecari",1.4189,0.1362,0.2396,0.345,""
"Mazama vs P_concolor",3.6646,0.1549,0.0223,0.1338,""
"Mazama vs T_pecari",1.6726,0.1003,0.1944,0.2916,""
"P_concolor vs T_pecari",1.8987,0.1005,0.1566,0.2563,""
