"Group","Taxon","Variable","Importance"
"Genus","Puma","NP",0.965119907564852
"Genus","Puma","PROX",0.385730907430907
"Genus","Puma","PD",0.383503446182175
"Genus","Puma","PLAND (%)",0.109568665446714
"Genus","Puma","FRAC",0.0395519914480496
"Genus","Puma","ED",0.0151666704185859
"Genus","Puma","AREA (ha)",0.0124424025034066
"Genus","Puma","Pop. Density",0.00997231926485642
"Genus","Puma","ENN (m)",0.00915632042087641
"Genus","Puma","Elevation (m)",0.00816156706892345
"Genus","Alouatta","Pop. Density",0.42916738368024
"Genus","Alouatta","NP",0.181154332521746
"Genus","Alouatta","PLAND (%)",0.124910851181116
"Genus","Alouatta","ED",0.0854021876392513
"Genus","Alouatta","ENN (m)",0.0836452649896967
"Genus","Alouatta","FRAC",0.0734463892620575
"Genus","Alouatta","Elevation (m)",0.0692727127645807
"Genus","Alouatta","AREA (ha)",0.0643903671249553
"Genus","Alouatta","PD",0.0641316359561212
"Genus","Alouatta","PROX",0.0583863758175615
"Genus","Mazama","NP",0.999989578885241
"Genus","Mazama","PD",0.998883690158207
"Genus","Mazama","PLAND (%)",0.00109800650299808
"Genus","Mazama","PROX",1.23485159969699e-05
"Genus","Mazama","AREA (ha)",2.93693073418312e-06
"Genus","Mazama","ED",2.06289353840024e-06
"Genus","Mazama","Pop. Density",1.8188761778065e-06
"Genus","Mazama","ENN (m)",6.6054938777066e-07
"Genus","Mazama","FRAC",5.26780142955351e-07
"Genus","Mazama","Elevation (m)",5.17473744495356e-07
"Genus","Brachyteles","NP",0.949633015398864
"Genus","Brachyteles","PLAND (%)",0.471249937607526
"Genus","Brachyteles","PD",0.403233368737056
"Genus","Brachyteles","PROX",0.123063370258426
"Genus","Brachyteles","ED",0.0362114212264136
"Genus","Brachyteles","ENN (m)",0.0037909118285748
"Genus","Brachyteles","FRAC",0.00343033407074066
"Genus","Brachyteles","Pop. Density",0.000780135012757861
"Genus","Brachyteles","Elevation (m)",0.000428504670642754
"Genus","Brachyteles","AREA (ha)",0.000349277954204021
"Genus","Tayassu","Pop. Density",0.48964405550454
"Genus","Tayassu","NP",0.115635029874116
"Genus","Tayassu","PD",0.0477619995353027
"Genus","Tayassu","AREA (ha)",0.0381278073563971
"Genus","Tayassu","Elevation (m)",0.0237278858848318
"Genus","Tayassu","ED",0.0167680399861522
"Genus","Tayassu","PROX",0.0152135171510056
"Genus","Tayassu","PLAND (%)",0.0129737212921854
"Genus","Tayassu","ENN (m)",0.0112042518436964
"Genus","Tayassu","FRAC",0.00884071000745264
"Genus","Leopardus","NP",0.0264673979072272
"Genus","Leopardus","Elevation (m)",0.023665167382745
"Genus","Leopardus","ENN (m)",0.0156834055360393
"Genus","Leopardus","FRAC",0.0115842112614676
"Genus","Leopardus","Pop. Density",0.0100534704682484
"Genus","Leopardus","PROX",0.00914334947431022
"Genus","Leopardus","ED",0.00681602310324423
"Genus","Leopardus","PLAND (%)",0.00660400918769426
"Genus","Leopardus","AREA (ha)",0.00654863773339955
"Genus","Leopardus","PD",0.00608960053194266
"Genus","Bradypus","NP",0.40765142434093
"Genus","Bradypus","PD",0.000368547229551492
"Genus","Bradypus","PLAND (%)",0.000356117761620316
"Genus","Bradypus","Elevation (m)",0.000103357874556375
"Genus","Bradypus","Pop. Density",8.85497637282003e-05
"Genus","Bradypus","ENN (m)",3.86222072534293e-05
"Genus","Bradypus","PROX",3.23901211216393e-05
"Genus","Bradypus","AREA (ha)",3.0656904038007e-05
"Genus","Bradypus","FRAC",2.83042034563048e-05
"Genus","Bradypus","ED",2.69936890161234e-05
"Diet","Fr/On","Pop. Density",0.48964405550454
"Diet","Fr/On","NP",0.115635029874116
"Diet","Fr/On","PD",0.0477619995353027
"Diet","Fr/On","AREA (ha)",0.0381278073563971
"Diet","Fr/On","Elevation (m)",0.0237278858848318
"Diet","Fr/On","ED",0.0167680399861522
"Diet","Fr/On","PROX",0.0152135171510056
"Diet","Fr/On","PLAND (%)",0.0129737212921854
"Diet","Fr/On","ENN (m)",0.0112042518436964
"Diet","Fr/On","FRAC",0.00884071000745264
"Diet","Hb/Fr","NP",0.999989578885241
"Diet","Hb/Fr","PD",0.998883690158207
"Diet","Hb/Fr","PLAND (%)",0.00109800650299808
"Diet","Hb/Fr","PROX",1.23485159969699e-05
"Diet","Hb/Fr","AREA (ha)",2.93693073418312e-06
"Diet","Hb/Fr","ED",2.06289353840024e-06
"Diet","Hb/Fr","Pop. Density",1.8188761778065e-06
"Diet","Hb/Fr","ENN (m)",6.6054938777066e-07
"Diet","Hb/Fr","FRAC",5.26780142955351e-07
"Diet","Hb/Fr","Elevation (m)",5.17473744495356e-07
"Diet","Ca","NP",0.999312021830139
"Diet","Ca","PROX",0.900460752647518
"Diet","Ca","PD",0.0731208296109936
"Diet","Ca","ED",0.0150364894269731
"Diet","Ca","PLAND (%)",0.00345145008164752
"Diet","Ca","Elevation (m)",0.000870201268591677
"Diet","Ca","ENN (m)",0.000850534118070513
"Diet","Ca","Pop. Density",0.000767996293011164
"Diet","Ca","AREA (ha)",0.000719607211904718
"Diet","Ca","FRAC",0.000687069732154377
"Diet","Fr/Fo","NP",0.665511618849415
"Diet","Fr/Fo","ED",0.19767891420507
"Diet","Fr/Fo","PLAND (%)",0.130057637545099
"Diet","Fr/Fo","ENN (m)",0.100148574753671
"Diet","Fr/Fo","PROX",0.0995689472201182
"Diet","Fr/Fo","Pop. Density",0.0853433117832735
"Diet","Fr/Fo","PD",0.0844585093386146
"Diet","Fr/Fo","FRAC",0.0777447578668816
"Diet","Fr/Fo","AREA (ha)",0.0725249480047345
"Diet","Fr/Fo","Elevation (m)",0.0708332245624644
"Locomotion","Ar","NP",0.848218072534273
"Locomotion","Ar","ED",0.162007075237574
"Locomotion","Ar","PROX",0.112259339768295
"Locomotion","Ar","PD",0.0971177235459222
"Locomotion","Ar","ENN (m)",0.090934881461502
"Locomotion","Ar","Elevation (m)",0.0859084721242312
"Locomotion","Ar","PLAND (%)",0.082949622226191
"Locomotion","Ar","FRAC",0.0779199792293623
"Locomotion","Ar","Pop. Density",0.0687885243782207
"Locomotion","Ar","AREA (ha)",0.0628290991664378
"Locomotion","Sc","NP",0.0264673979072272
"Locomotion","Sc","Elevation (m)",0.023665167382745
"Locomotion","Sc","ENN (m)",0.0156834055360393
"Locomotion","Sc","FRAC",0.0115842112614676
"Locomotion","Sc","Pop. Density",0.0100534704682484
"Locomotion","Sc","PROX",0.00914334947431022
"Locomotion","Sc","ED",0.00681602310324423
"Locomotion","Sc","PLAND (%)",0.00660400918769426
"Locomotion","Sc","AREA (ha)",0.00654863773339955
"Locomotion","Sc","PD",0.00608960053194266
"Locomotion","Te","NP",0.999999999199998
"Locomotion","Te","PD",0.998747199293881
"Locomotion","Te","ENN (m)",0.584852162635129
"Locomotion","Te","FRAC",0.068278839233663
"Locomotion","Te","AREA (ha)",0.0539630351732408
"Locomotion","Te","Elevation (m)",0.0512468328573012
"Locomotion","Te","Pop. Density",0.0471526040205283
"Locomotion","Te","PLAND (%)",0.0012524761404217
"Locomotion","Te","ED",0.000248358196774638
"Locomotion","Te","PROX",3.22789294319171e-07
