"Group","Taxon","Rank","Selected_Variables","df","LogLik","AICc","Delta_AICc","Akaike_Weight"
"Genus","Puma",1,"NP_Forest + PD_Forest",4,-129.153,272.021,0,0.51
"Genus","Puma",2,"NP_Forest + PROX_MN_Forest",4,-129.193,272.1,0.079,0.49
"Genus","Alouatta",1,"Mean_Pop_Density",3,-130.969,271.367,0,0.5
"Genus","Alouatta",2,"~ Null Model ~",2,-133.488,272.475,1.108,0.287
"Genus","Alouatta",3,"NP_Forest",3,-131.822,273.072,1.705,0.213
"Genus","Mazama",1,"NP_Forest + PD_Forest",4,-93.584,203.167,0,1
"Genus","Brachyteles",1,"NP_Forest + PLAND_Forest",4,-92.209,200.418,0,0.539
"Genus","Brachyteles",2,"NP_Forest + PD_Forest",4,-92.364,200.728,0.311,0.461
"Genus","Tayassu",1,"Mean_Pop_Density",3,-69.281,152.561,0,0.636
"Genus","Tayassu",2,"~ Null Model ~",2,-73.34,153.68,1.119,0.364
"Genus","Leopardus",1,"~ Null Model ~",2,-73.487,154.974,0,1
"Genus","Bradypus",1,"~ Null Model ~",2,-57.637,125.275,0,0.592
"Genus","Bradypus",2,"NP_Forest",3,-48.009,126.019,0.744,0.408
"Diet","Fr/On",1,"Mean_Pop_Density",3,-69.281,152.561,0,0.636
"Diet","Fr/On",2,"~ Null Model ~",2,-73.34,153.68,1.119,0.364
"Diet","Hb/Fr",1,"NP_Forest + PD_Forest",4,-93.584,203.167,0,1
"Diet","Ca",1,"NP_Forest + PROX_MN_Forest",5,-201.326,417.652,0,1
"Diet","Fr/Fo",1,"NP_Forest",4,-240.393,491.285,0,1
"Locomotion","Ar",1,"NP_Forest",4,-299.185,608.274,0,0.447
"Locomotion","Ar",2,"NP_Forest + PROX_MN_Forest",5,-298.459,609.918,1.644,0.196
"Locomotion","Ar",3,"NP_Forest + PD_Forest",5,-298.546,610.091,1.817,0.18
"Locomotion","Ar",4,"ED_Forest + NP_Forest",5,-298.565,610.13,1.856,0.177
"Locomotion","Sc",1,"~ Null Model ~",2,-73.487,154.974,0,1
"Locomotion","Te",1,"Mean_ENN_Forest_m + NP_Forest + PD_Forest",6,-343.387,702.004,0,1
