"Category","Taxon","n_obs","Dispersion_p","Uniformity_p","Outliers_p","Overall_Diagnostic"
"Genus","Puma",12,0.758,0.6651,1,"OK"
"Genus","Alouatta",11,0.132,0.3394,1,"OK"
"Genus","Mazama",10,0.342,0.8977,1,"OK"
"Genus","Brachyteles",10,0.73,0.6209,1,"OK"
"Genus","Tayassu",7,0.916,0.7738,1,"OK"
"Genus","Leopardus",6,0.85,0.9756,1,"OK"
"Genus","Bradypus",5,0.772,0.5929,1,"OK"
"Diet","Fr/On",7,0.916,0.7738,1,"OK"
"Diet","Hb/Fr",10,0.342,0.8977,1,"OK"
"Diet","Ca",18,0.56,0.8734,0.0354,"WARNING"
"Diet","Fr/Fo",21,0.69,0.2266,1,"OK"
"Locomotion","Ar",26,0.81,0.2254,1,"OK"
"Locomotion","Sc",6,0.85,0.9756,1,"OK"
"Locomotion","Te",33,0.114,0.4193,0.0639,"OK"
