"Taxon","Rank","Delta_AICc","Weight","df","LogLik","Selected_Variables"
"Puma",1,0,0.446,4,-129.153,"NP_Forest + PD_Forest"
"Puma",2,0.079,0.428,4,-129.193,"NP_Forest + PROX_MN_Forest"
"Puma",3,2.528,0.126,4,-130.418,"NP_Forest + PLAND_Forest"
"Alouatta",1,0,0.5,3,-130.969,"Mean_Pop_Density"
"Alouatta",2,1.108,0.287,2,-133.488,"~ Null Model ~"
"Alouatta",3,1.705,0.213,3,-131.822,"NP_Forest"
"Mazama",1,0,0.999,4,-93.584,"NP_Forest + PD_Forest"
"Mazama",2,13.632,0.001,4,-100.4,"NP_Forest + PLAND_Forest"
"Mazama",3,22.691,0,4,-104.929,"NP_Forest + PROX_MN_Forest"
"Brachyteles",1,0,0.496,4,-92.209,"NP_Forest + PLAND_Forest"
"Brachyteles",2,0.311,0.425,4,-92.364,"NP_Forest + PD_Forest"
"Brachyteles",3,3.676,0.079,4,-94.047,"NP_Forest + PROX_MN_Forest"
"Tayassu",1,0,0.577,3,-69.281,"Mean_Pop_Density"
"Tayassu",2,1.119,0.33,2,-73.34,"~ Null Model ~"
"Tayassu",3,3.642,0.093,3,-71.102,"NP_Forest"
"Leopardus",1,0,0.946,2,-73.487,"~ Null Model ~"
"Leopardus",2,7.002,0.029,3,-71.988,"NP_Forest"
"Leopardus",3,7.226,0.026,3,-72.1,"Mean_Elevation_m"
"Bradypus",1,0,0.592,2,-57.637,"~ Null Model ~"
"Bradypus",2,0.744,0.408,3,-48.009,"NP_Forest"
"Bradypus",3,14.761,0,3,-55.018,"PD_Forest"
